Organization,Location Description,Model Number,Serial Number,PLACEMENT,Contact Name,Contact Phone,Email Address,Comments,Source,Input Method,Feature Name,Lat,Long
SoulCycle,600 Stanford Shopping Center C12,Phillips HeartStart Onsite,A13H-07450,Next to spin studio,Geoffrey Gohacki,917-261-3825,aed@commonsensecpr.comx,,cpa,heads up,Automated External Defibrilator: 166,-122.1707240,37.4442355
Palo Alto Dental Group,"511 Byron St, Palo Alto",,,Upstairs closet at the end of the stairs,Palo Alto Dental Group,,,,cpa,heads up,Automated External Defibrilator: 170,-122.1571590,37.4501342
JCC,"3921 Fabian Way, Palo Alto",,,JCC Lobby - Next to Workout Room in first floor,JCC,,,,cpa,heads up,Automated External Defibrilator: 171,-122.1027076,37.4236122
Patagonia,"525 Alma St, Palo Alto",,,In back of the store!,Patagonia,,,,cpa,heads up,Automated External Defibrilator: 172,-122.1628642,37.4432280
Keys School - Middle Campus,3981 El Camino Real,,,"Administration Build #400, right wall upon entering the main office",Keys School - Middle Campus,,,,cpa,heads up,Automated External Defibrilator: 173,-122.1278317,37.4165849
Keys School - Middle Campus,"3981 Middlefield Rd, Palo Alto",,,Gymnasium Building #100 Back wall by Coaches Office,Keys School - Middle Campus,,,,cpa,heads up,Automated External Defibrilator: 174,-122.1279560,37.4162240
Bing Nursery School,"850 Escondido Rd, Stanford",,,Located inside the staff kitchen,Bing Nursery School,,,,cpa,heads up,Automated External Defibrilator: 175,-122.1565110,37.4220176
Braun Music Center,"541 Lasuen Mall, ST",,,1st Floor Corridor near the restrooms by the Campbell Recital Hall,Braun Music Center,,,,cpa,heads up,Automated External Defibrilator: 176,-122.1698394,37.4236297
Jordan Hall (Psychology),"450 Serra Mall, Stanford",,,"1st Floor Lounge, Basement Level MRI, Lab 065",Jordan Hall (Psychology),,,,cpa,heads up,Automated External Defibrilator: 177,-122.1709401,37.4287588
"Braun Corner, Main Quad, Bld 320","450 Serra Mall, Stanford",,,1st Floor near Lecture Hall 105,"Braun Corner, Main Quad, Bld 320",,,,cpa,heads up,Automated External Defibrilator: 178,-122.1716934,37.4268348
Mitchell Earth Science Building,"397 Panama Mall, Stanford",,,1st Floor Lobby next to North Conference Rm 130,Mitchell Earth Science Building,,,,cpa,heads up,Automated External Defibrilator: 179,-122.1724254,37.4263093
Herrin Hall,"393 Serra Mall, Stanford",,,1st Floor Corridor in the cabinet next to Rm T130; 2nd Floor Corridor in the cabinet next to Rm R212,Herrin Hall,,,,cpa,heads up,Automated External Defibrilator: 180,-122.1714925,37.4298196
Paul Allen Ct. Annex Building,"330 Serra Mall, Stanford",,,1st Floor by ERT Rm. 130X,Paul Allen Ct. Annex Building,,,,cpa,heads up,Automated External Defibrilator: 181,-122.1743889,37.4298293
Herrin Lab,"385 Serra Mall, Stanford",,,1st Floor Corridor in the Cabinet across fr. Rm 154; 3rd Floor Corridor in the cabinet across fr. Rm 396,Herrin Lab,,,,cpa,heads up,Automated External Defibrilator: 182,-122.1715087,37.4299569
Palo Alto JCC Gym,"3921 Fabian Way, Palo Alto",,,Upstairs in Gym,Palo Alto JCC Gym,,,,cpa,heads up,Automated External Defibrilator: 183,-122.1031840,37.4236270
Ohlone Elementary School,"950 Amarillo Ave, Palo Alto",,,Inside School Office,Ohlone Elementary School,,,,cpa,heads up,Automated External Defibrilator: 185,-122.1231030,37.4395713
Faculty Building East,"655 Knight Way, Stanford",,,"2nd Floor Workroom, E265",Faculty Building East,,,,cpa,heads up,Automated External Defibrilator: 186,-122.1611702,37.4278748
Faculty Building West,"655 Knight Way, ST",,,"1st Floor Service Rm. W130, 2nd Floor Workroom W255",Faculty Building West,,,,cpa,heads up,Automated External Defibrilator: 187,-122.1619262,37.4283061
Zambrano Hall North Building,"641 Knight Way, Stanford",,,"1st Floor, Inside the CEMEX Auditorium, Lower Level at Stair 4, 3rd Floor at Stair 4",Zambrano Hall North Building,,,,cpa,heads up,Automated External Defibrilator: 188,-122.1626766,37.4284814
Gunn Building,"635 Knight Way, Stanford",,,"1st Floor Lobby, 2nd Floor Kitchenette/Workroom 218, 3rd Floor Kitchenette/Workroom 318",Gunn Building,,,,cpa,heads up,Automated External Defibrilator: 189,-122.1634438,37.4281415
Roscoe Maples Pavilion,"655 Campus Dr, Stanford",,,Court Level near the Loading Dock,Roscoe Maples Pavilion,,,,cpa,heads up,Automated External Defibrilator: 190,-122.1600472,37.4293826
School of Education - Cubberly Auditorium,"485 Lasuen Mall, ST",,,1st Floor Lobby near elevator,School of Education - Cubberly Auditorium,,,,cpa,heads up,Automated External Defibrilator: 191,-122.1684923,37.4264970
"McClatchy Hall, Main Quad Bldg. 120","450 Serra Mall, Stanford",,,1st Floor East Entrance,"McClatchy Hall, Main Quad Bldg. 120",,,,cpa,heads up,Automated External Defibrilator: 192,-122.1694785,37.4283367
"Building 10, Main Quad, President's Office","450 Serra Mall, Stanford",,,1st Floor inside the closet next to the elevator.,"Building 10, Main Quad, President's Office",,,,cpa,heads up,Automated External Defibrilator: 193,-122.1692539,37.4277234
"VI Retirement Community, Palo Alto","620 Sandhilll Rd, Palo Alto",,,"7 locations: Front Desk 1st Fl, Wellness Center, D Wing - 1st & 3rd Floor, A Wing - 3rd Floor, G Wing - 1st Floor, Care Center Front Desk","VI Retirement Community, Palo Alto",,,,cpa,heads up,Automated External Defibrilator: 194,-122.1761373,37.4405715
Cantor Arts Center,"328 Lomita Mall, ST",,,1st Floor Security Office near the elevator and restrooms.,Cantor Arts Center,,,,cpa,heads up,Automated External Defibrilator: 195,-122.1710890,37.4330780
Biology Growth Plant Facility,"184 Searsville Rd, Stanford",,,Lab Building 14-140,Biology Growth Plant Facility,,,,cpa,heads up,Automated External Defibrilator: 196,-122.1814971,37.4288030
Old Union Bldg,"520 Duena St, ST",,,1st. Floor rear corridor by restrooms,Old Union Bldg,,,,cpa,heads up,Automated External Defibrilator: 197,-122.1706662,37.4250861
AstroPhysics,"452 Lomita Mall, Stanford",,,1st floor Lobby,AstroPhysics,,,,cpa,heads up,Automated External Defibrilator: 198,-122.1728851,37.4283031
Spilker Engineering & Applied Sci.,"348 Via Pueblo Mall, Stanford",,,1st Floor near main elevator.,Spilker Engineering & Applied Sci.,,,,cpa,heads up,Automated External Defibrilator: 199,-122.1739990,37.4287852
Huang Engineering,"475 Via Ortega, Stanford",,,1st floor by restrooms for the Forbes Family Cafe.,Huang Engineering,,,,cpa,heads up,Automated External Defibrilator: 200,-122.1742604,37.4280986
"Environment & Energy Building, Y2E2","473 Via Ortega, Stanford",,,1st floor Red Atrium Elevator Lobby,"Environment & Energy Building, Y2E2",,,,cpa,heads up,Automated External Defibrilator: 201,-122.1751242,37.4279341
Cypress Hall,"470 Via Ortega, Stanford",,,1st Floor Copy Room next to the Library.,Cypress Hall,,,,cpa,heads up,Automated External Defibrilator: 202,-122.1765614,37.4286562
Li Ka Shing Center (LKSC),"291 Campus Dr, Stanford",,,2nd floor corridor near the restrooms.,Li Ka Shing Center (LKSC),,,,cpa,heads up,Automated External Defibrilator: 203,-122.1757417,37.4317881
Environmental Safety Facility,"480 Oak Rd, Stanford",,,Main Bldg. A located in room A02 behind reception desk.,Environmental Safety Facility,,,,cpa,heads up,Automated External Defibrilator: 204,-122.1853710,37.4292046
Environmental Safety Facility,"480 Oak Rd, Stanford",,,Located inside the Occupational Health Center Building B.,Environmental Safety Facility,,,,cpa,heads up,Automated External Defibrilator: 205,-122.1853214,37.4293557
Arrillaga Outdoor Ed. and Rec Cntr (04-640),"285 Santa Teresa St, Stanford",,,First floor lobby.,Arrillaga Outdoor Ed. and Rec Cntr (04-640),,,,cpa,heads up,Automated External Defibrilator: 206,-122.1775038,37.4267018
Stanford Visitor Center,"295 Galvez St, Stanford",,,AED is located next to the restroom.,Stanford Visitor Center,,,,cpa,heads up,Automated External Defibrilator: 207,-122.1636270,37.4314909
Taube Tennis Stadium,"275 Sam McDonald Mall, Stanford",,,1st Floor Office area.,Taube Tennis Stadium,,,,cpa,heads up,Automated External Defibrilator: 208,-122.1624704,37.4309892
Arrillaga Family Sports Center,"641 Campus Dr, Stanford",,,2nd floor corridor by men's restroom.,Arrillaga Family Sports Center,,,,cpa,heads up,Automated External Defibrilator: 209,-122.1615809,37.4299169
Arrillaga Gym And Weight Room,"655 Campus Dr, Stanford",,,Court Level by door to Weight Room.,Arrillaga Gym And Weight Room,,,,cpa,heads up,Automated External Defibrilator: 210,-122.1600370,37.4290296
Bass Center,"645 Knight Way, Stanford",,,2nd and 4th Floors at the restroom by the central stairway.,Bass Center,,,,cpa,heads up,Automated External Defibrilator: 211,-122.1622625,37.4284047
Patterson Bldg,"663 Serra St, Stanford",,,1st Floor Room P1Print1  2nd Floor Kitchenette P250.,Patterson Bldg,,,,cpa,heads up,Automated External Defibrilator: 212,-122.1611390,37.4274184
MBA Class Of 1968 Building,"653 Serra St, Stanford",,,2nd Floor Kitchenette C250,MBA Class Of 1968 Building,,,,cpa,heads up,Automated External Defibrilator: 213,-122.1618502,37.4275730
McClellan Building,"643 Serra St, Stanford",,,2nd Floor Kitchenette M250,McClellan Building,,,,cpa,heads up,Automated External Defibrilator: 214,-122.1625892,37.4278126
Ford Center For Sports And Rec.,"365 Galvez St, Stanford",,,By the Women's lockers and restroom.,Ford Center For Sports And Rec.,,,,cpa,heads up,Automated External Defibrilator: 215,-122.1639646,37.4287905
Landau Economics Bldg,"579 Serra Mall, Stanford",,,1st Floor Elevator Lobby,Landau Economics Bldg,,,,cpa,heads up,Automated External Defibrilator: 216,-122.1657740,37.4284397
Graduate Community Center,"750 Escondido Rd, Stanford",,,1st Floor hallway across from the elevator and restrooms.,Graduate Community Center,,,,cpa,heads up,Automated External Defibrilator: 217,-122.1584076,37.4233238
Tressider Memorial Union,"459 Lagunita Dr, Stanford",,,1st Floor inside the Fitness Center.,Tressider Memorial Union,,,,cpa,heads up,Automated External Defibrilator: 218,-122.1707673,37.4239677
Bookstore,"519 Lasuen Mall, Stanford",,,1st Floor Customer Service Counter,Bookstore,,,,cpa,heads up,Automated External Defibrilator: 219,-122.1687755,37.4246220
Carnegie Institute,"260 Panama St, Stanford",,,1st floor in the Global Ecology Center Bldg. 1000 by the elevator.,Carnegie Institute,,,,cpa,heads up,Automated External Defibrilator: 220,-122.1792545,37.4287959
Paul G. Allen Building,"420 Via Palou, Stanford",,,1st Floor inside the Loading Dock and Stockroom.,Paul G. Allen Building,,,,cpa,heads up,Automated External Defibrilator: 221,-122.1748698,37.4294759
SIEPR Building,"366 Galvez St, Stanford",,,1st Floor behind the front desk.,SIEPR Building,,,,cpa,heads up,Automated External Defibrilator: 222,-122.1654485,37.4291047
Gilbert Biological Sciences,"371 Serra Mall, Stanford",,,1st floor lobby by the restroom  3rd floor next to the North stairwell 4th floor next to the North stairwell,Gilbert Biological Sciences,,,,cpa,heads up,Automated External Defibrilator: 223,-122.1723369,37.4302360
Packard Electrical Engineering,"350 Serra Ml, Stanford",,,1st and 3rd floors at the elevator lobbies.,Packard Electrical Engineering,,,,cpa,heads up,Automated External Defibrilator: 224,-122.1736274,37.4291238
Green Earth Science Building,"397 Panama St, Stanford",,,Ground Floor near courtyard and office #095.,Green Earth Science Building,,,,cpa,heads up,Automated External Defibrilator: 225,-122.1736859,37.4270484
Durand Building,"496 Lomita Ml, Stanford",,,2nd floor lobby by the women's restroom,Durand Building,,,,cpa,heads up,Automated External Defibrilator: 226,-122.1731781,37.4272284
Stanford Football Stadium,"625 Nelson Rd, Stanford",,,"Concourse Level in the First Aid Rooms located at Sections 115 & 132. Skybox levels 2, 3, and 4 by the interior elevator.",Stanford Football Stadium,,,,cpa,heads up,Automated External Defibrilator: 227,-122.1620017,37.4342042
Avery Aquatic Center,"235 Sam McDonald Ml, Stanford",,,2 units on the pool deck inside the 911 phone. Units are released by the dispatcher.,Avery Aquatic Center,,,,cpa,heads up,Automated External Defibrilator: 228,-122.1605310,37.4311083
Memorial Auditorium,"551 Serra Ml, Stanford",,,Main lobby next to front door and another unit located in the rear corridor behind the stage.,Memorial Auditorium,,,,cpa,heads up,Automated External Defibrilator: 229,-122.1665655,37.4287551
Herbert Hoover Memorial Building,"434 Galvez Ml, Stanford",,,Basement level mail room.,Herbert Hoover Memorial Building,,,,cpa,heads up,Automated External Defibrilator: 230,-122.1661091,37.4271855
Encina Hall West,"417 Galvez Ml, Stanford",,,1st Floor elevator lobby next to the men's room.,Encina Hall West,,,,cpa,heads up,Automated External Defibrilator: 231,-122.1650548,37.4275013
Vaden Student Health Center,"866 Campus Dr, Stanford",,,1st floor back hallway by room 141.,Vaden Student Health Center,,,,cpa,heads up,Automated External Defibrilator: 232,-122.1634091,37.4220259
Bolivar House,"582 Alvarado Rw, Stanford",,,1st floor Kitchen,Bolivar House,,,,cpa,heads up,Automated External Defibrilator: 233,-122.1655973,37.4220047
The Knoll,"660 Lomita Ct, Stanford",,,3rd floor lobby located between Stair B and the elevator.,The Knoll,,,,cpa,heads up,Automated External Defibrilator: 234,-122.1722224,37.4208496
SCRA Sports Complex,"875 Bowdoin St, Stanford",,,Pool Deck near the emergency phone.,SCRA Sports Complex,,,,cpa,heads up,Automated External Defibrilator: 235,-122.1571711,37.4203460
Stanford Football Stadium (North Side),"625 Nelson Rd, Stanford",,,"Concourse Level in the First Aid Rooms located at Sections 115 & 132. Skybox levels 2, 3, and 4 by the interior elevator.",Stanford Football Stadium (North Side),,,,cpa,heads up,Automated External Defibrilator: 236,-122.1605373,37.4351151
Hansen Experimental Physics Lab (HEPL) South,"491 S Service Rd, Stanford",,,Mezzanine Level next to men's restroom and the elevator.,Hansen Experimental Physics Lab (HEPL) South,,,,cpa,heads up,Automated External Defibrilator: 237,-122.1744758,37.4274083
Law School - Crown Library,"559 Nathan Abbott Wy, Stanford",,,2nd Floor Teaming Room 256A,Law School - Crown Library,,,,cpa,heads up,Automated External Defibrilator: 238,-122.1675810,37.4242357
Center for Educ. Rsch (CERAS) Building,"520 Galvez Ml, Stanford",,,2nd Floor Lobby,Center for Educ. Rsch (CERAS) Building,,,,cpa,heads up,Automated External Defibrilator: 239,-122.1667620,37.4248055
Golf Pro Shop,"91 Links Rd, Stanford",,,Inside the golf shop.,Golf Pro Shop,,,,cpa,heads up,Automated External Defibrilator: 240,-122.1837094,37.4216021
Cntr. for Advan. Study in Behav. Sci. (CASBS),"75 Alta Rd, Stanford",,,"It is on the wall, in the breeze way near the meeting room",Cntr. for Advan. Study in Behav. Sci. (CASBS),,,,cpa,heads up,Automated External Defibrilator: 241,-122.1798334,37.4195136
Mudd Chemistry Building,"333 Campus Dr, Stanford",,,"1st floor, lobby",Mudd Chemistry Building,,,,cpa,heads up,Automated External Defibrilator: 242,-122.1726961,37.4314418
Lokey Laboratories,"337 Campus Dr, Stanford",,,"1st floor, main lobby",Lokey Laboratories,,,,cpa,heads up,Automated External Defibrilator: 243,-122.1725646,37.4318521
Palo Alto Family YMCA,"3412 Ross Rd, Palo Alto",,,Behind Front Desk where members check in and get towels in main lobby,Palo Alto Family YMCA,,,,cpa,heads up,Automated External Defibrilator: 244,-122.1163037,37.4284453
Frances Arrillaga Alumni Center,"325 Galvez St, Stanford",,,"Coat Room 116, First floor lobby (to right) past reception area. Inside coat closet (left of door)",Frances Arrillaga Alumni Center,,,,cpa,heads up,Automated External Defibrilator: 245,-122.1647541,37.4306207
"PreSchool Family Office, Greendell School","4120 Middlefield Rd, Palo Alto",,,Inside school office,"PreSchool Family Office, Greendell School",,,,cpa,heads up,Automated External Defibrilator: 246,-122.1063852,37.4160761
"Pigott Hall, Bldg 260","450 Serra Mall, Stanford",,,"First Floor, Elevator-adjacent","Pigott Hall, Bldg 260",,,,cpa,heads up,Automated External Defibrilator: 247,-122.1690815,37.4265433
Roble Gym Complex,"375 Santa Teresa St, Stanford",,,"West Hall, to the left when entering front doors of building, directly to the left in the hallway.",Roble Gym Complex,,,,cpa,heads up,Automated External Defibrilator: 248,-122.1749289,37.4263140
Gates Computer Science,"353 Serra Ml, Stanford",,,Near front door next to conference room 104,Gates Computer Science,,,,cpa,heads up,Automated External Defibrilator: 251,-122.1732717,37.4301372
PAHS Library,"50 Embarcadero Rd, Palo Alto",,,Behind the front desk,PAHS Library,,,,cpa,heads up,Automated External Defibrilator: 252,-122.1561065,37.4369194
"Memorial Church, Stanford","450 Serra Mall, Stanford",,,Memorial Church vestibule,"Memorial Church, Stanford",,,,cpa,heads up,Automated External Defibrilator: 253,-122.1704759,37.4268328
"3145 Porter Dr, Palo Alto","3145 Porter Dr, Palo Alto",,,Just downstairs from the lobby behind the elevator.,"3145 Porter Dr, Palo Alto",,,,cpa,heads up,Automated External Defibrilator: 254,-122.1510712,37.4089688
"H&S Dean's Office, Building 1 Main Quad","450 Serra Mall, Stanford",,,"First floor kitchen, near door","H&S Dean's Office, Building 1 Main Quad",,,,cpa,heads up,Automated External Defibrilator: 255,-122.1696672,37.4277976
Bing Concert Hall,"327 Lasuen St, Stanford",,,Lobby Level by the patron services desk,Bing Concert Hall,,,,cpa,heads up,Automated External Defibrilator: 256,-122.1665150,37.4318373
Bing Concert Hall Lower Level,"327 Lasuen St, Stanford",,,Lower level by drinking fountain between auditorium entrance C and restrooms,Bing Concert Hall,,,,cpa,heads up,Automated External Defibrilator: 257,-122.1657254,37.4321780
Bing Concert Hall Upper Level,"327 Lasuen St, Stanford",,,Upper level (M2 - Tech Booth and roof access). To the right of the elevator.,Bing Concert Hall,,,,cpa,heads up,Automated External Defibrilator: 258,-122.1660767,37.4317861
Bing Concert Hall House Crew,"327 Lasuen St, Stanford",,,"At the stage level, in the hallway behind the stage manager desk.",Bing Concert Hall House Crew,,,,cpa,heads up,Automated External Defibrilator: 259,-122.1665700,37.4318475
Peterson Atrium,"416 Escondido Ml, Stanford",,,Next to 1st floor elevator.,Peterson Atrium,,,,cpa,heads up,Automated External Defibrilator: 260,-122.1718762,37.4263374
"Terman Eng Lab Building, 02-500","488 Escondido Ml, Stanford",,,AED next to exterior south exit.,"Terman Eng Lab Building, 02-500",,,,cpa,heads up,Automated External Defibrilator: 261,-122.1694772,37.4258204
Mechanical Engineering Laboratory (Merl Building),"418 Panama Ml, Stanford",,,First floor lobby next to drinking fountains.,Mechanical Engineering Laboratory (Merl Building),,,,cpa,heads up,Automated External Defibrilator: 262,-122.1721479,37.4256225
Y2E2 Next To First Floor Elevator,"473 Via Ortega, Stanford",,,"Next to first floor elevator, Coupa area.",Y2E2 Next To First Floor Elevator,,,,cpa,heads up,Automated External Defibrilator: 263,-122.1755825,37.4283562
Automotive Innovation Facility,"473 Oak Rd, Stanford",,,Is located next to emergency shower.,Automotive Innovation Facility,,,,cpa,heads up,Automated External Defibrilator: 264,-122.1840130,37.4302089
PAHS Tower Bldg,"50 Embarcadero Rd, Palo Alto",,,It is next to the health office. (Facing health office right of it). With an AED sign right above it.,PAHS Tower Bldg,,,,cpa,heads up,Automated External Defibrilator: 265,-122.1572333,37.4360805
Palo Alto Buddhist Temple,"2751 Louis Rd, Palo Alto",,,Located in the entrance to the gym on Louis Avenue side,Palo Alto Buddhist Temple,,,,cpa,heads up,Automated External Defibrilator: 266,-122.1235495,37.4381097
Aldersgate United Methodist Church,"4243 Manuela Av, Palo Alto",,,Left side inside Wheeler Hall lobby,Aldersgate United Methodist Church,,,,cpa,heads up,Automated External Defibrilator: 267,-122.1324055,37.3939272
Castilleja School,"221 Kellogg Av, Palo Alto",,,Next to cafeteria,"Castilleja School, cafeteria",,,,cpa,heads up,Automated External Defibrilator: 268,-122.1512323,37.4383018
Palo Alto Elks Lodge,"4249 El Camino Real, Palo Alto",,,Next to workout room on first floor,Palo Alto Elks Lodge,,,,cpa,heads up,Automated External Defibrilator: 269,-122.1212557,37.4084098
Uforia Studios,"819 Ramona St, Palo Alto",,,Behind the front desk,Uforia Studios,,,,cpa,heads up,Automated External Defibrilator: 270,-122.1579264,37.4427833
Addison Elementary School,"650 Addison Av, Palo Alto",,,In teachers lounge,Addison Elementary School,,,,cpa,heads up,Automated External Defibrilator: 271,-122.1507888,37.4460528
Palo Verde Elementary School,"3450 Louis Rd, Palo Alto",,,Palo Verde School principal's office,Palo Verde Elementary School,,,,cpa,heads up,Automated External Defibrilator: 272,-122.1142828,37.4311868
Gunn High School,"780 Arastradero Rd, Palo Alto",,,"Behind front desk, in hallway and next to bathrooms",Gunn High School Office,,,,cpa,heads up,Automated External Defibrilator: 273,-122.1325192,37.4007537
Pearson-Arastradero Preserve,"1530 Arastradero Rd, Palo Alto",,,Inside educators wildlife exhibit,Pearson-Arastradero Preserve,,,,cpa,heads up,Automated External Defibrilator: 274,-122.1738439,37.3871243
IDEO,"715 Alma St, Palo Alto",,,Enter on Alma or alley off Forest. Behind reception desk,IDEO,,,,cpa,heads up,Automated External Defibrilator: 275,-122.1609458,37.4419370
Schwab Residential Center,"680 Serra St, Stanford",,,The AED is at the front desk at the Schwab Center Main Lobby.,Schwab Residential Center,,,,cpa,heads up,Automated External Defibrilator: 276,-122.1618669,37.4267743
"Land, Buildings, & Real Estate, (LBRE) 2nd Floor, Stanford","3170 Porter Dr, Palo Alto",,,Copy room near executive offices and Real Estate.,"Land, Buildings, & Real Estate",,,,cpa,heads up,Automated External Defibrilator: 277,-122.1514142,37.4076643
Tressider Fitness,"459 Lagunita Dr, Stanford",,,"In between coho and treehouse, just inside the door to the fitness center on the left.",Tressider Fitness,,,,cpa,heads up,Automated External Defibrilator: 278,-122.1709652,37.4240543
Walter Hays Main Office,"1525 Middlefield Rd, Palo Alto",,,On back wall,Walter Hays Main Office,,,,cpa,heads up,Automated External Defibrilator: 279,-122.1437139,37.4431890
Gunn High School,"780 Arastradero Rd, Palo Alto",,,In lobby to the right.,Gunn High School Theater,,,,cpa,heads up,Automated External Defibrilator: 280,-122.1336396,37.4013591
Montag Hall,"355 Galvez St, Stanford",,,Next to back door.,Montag Hall,,,,cpa,heads up,Automated External Defibrilator: 281,-122.1643689,37.4295401
"Stanford Blake Wilbur, 3rd Floor","900 Blake Wilbur Dr, Palo Alto",,,"Right next to the Cardiovascular/ENT/Oncology a Departments. After elevator, next to glass doors.","Stanford Blake Wilbur, 3rd Floor",,,,cpa,heads up,Automated External Defibrilator: 282,-122.1774295,37.4355525
Falk Cardiovascular Research Center,"870 Quarry Rd, Palo Alto",,,Falk Research Bldg,Falk Cardiovascular Research Center,,,,cpa,heads up,Automated External Defibrilator: 283,-122.1739295,37.4352331
Congregation Kol Emeth,"4175 Manuela Av, Palo Alto",,,Inside main sanctuary. Closet on left side near partition. Door has sign.,Congregation Kol Emeth,,,,cpa,heads up,Automated External Defibrilator: 284,-122.1329194,37.3967617
Goodwill Industries,"4085 El Camino Wy, Palo Alto",,,"West side of building, right of entrance.",Goodwill Industries,,,,cpa,heads up,Automated External Defibrilator: 285,-122.1259026,37.4150851
Wilson Sonsini Goodrich & Rosati,"601 California Ave, Palo Alto, CA, 94304, US",Defibtech Lifeline,101026216,Bayland 1st Floor,Danielle Black,(650)461-5204,dblack@wsgrcom,,cpa,heads up,Automated External Defibrilator: 287,-122.1460233,37.4236676
Wilson Sonsini Goodrich & Rosati,"601 California Ave, Palo Alto, CA, 94304, US",Defibtech Lifeline,101026172,Baylands 2nd floor,Danielle Black,(650)461-5204,dblack@wsgrcom,,cpa,heads up,Automated External Defibrilator: 288,-122.1460217,37.4236670
